cities_number
20
cities
city;x;y;capacity;has_airport
0;788;435;8;True
1;892;218;9;False
2;597;4;7;True
3;403;15;10;True
4;757;968;8;True
5;46;765;1;False
6;469;383;7;True
7;696;335;2;False
8;405;225;9;True
9;415;435;10;True
10;108;751;8;True
11;745;908;0;False
12;209;83;10;True
13;142;260;1;True
14;519;722;0;True
15;977;761;8;True
16;534;816;8;False
17;692;514;6;True
18;79;462;2;False
19;314;89;1;True
distance
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
2;;;;2.8876550846786713;13.210151003852301;13.828591427148929;5.114908374876427;4.8434091202137415;3.310662903503321;6.510359692129128;9.566079729282889;10.365722778575384;4.763692810359692;7.529050384092287;10.165579450772242;9.182344821105518;9.945250985018879;7.515798527943363;9.0197311491819;4.137510875238429
3;;;;;11.789882525591644;8.425481198104205;3.9543944606127566;5.878369775059426;2.742820656597429;5.127923812143924;11.293502941555868;13.154954659792294;2.176353182154096;5.210045426915107;10.393886840303225;12.993246941242065;11.26565197832947;6.428872615556617;7.9822771601672065;1.3306570426396105
4;;;;;;10.366107896402914;7.120259827588211;7.181010065724397;8.818934348155288;7.3565932100494;9.357417153601583;0.8119565066065292;14.220945683535652;13.68374042703797;4.736479728665247;3.7045018205558375;3.442624828115788;5.597853289388669;10.29995423424248;13.49967314124469
5;;;;;;;6.385683822603576;11.025150484525222;7.051488803032106;5.0613288212416645;0.8011039920239224;7.952870504444495;9.02144827039878;7.18216932155436;7.05649617850359;10.446279500559552;6.888603345949006;10.202396592535365;3.0579408561377353;7.756914555169283
6;;;;;;;;3.20362966719581;2.341636230193249;1.1213667970207293;7.579380290921088;7.459756929984208;5.719316858950806;4.497331521948649;3.432792785328239;8.311342411544944;6.440749685820909;3.666266261468785;4.147626452730134;3.4343107031581765
7;;;;;;;;;4.451102330484468;3.501932394552633;7.801826468422858;7.316255108106916;6.445701659016485;5.696388544329134;5.803180832518428;6.369230652364935;7.263296422037584;2.396898477812606;9.348520355252349;5.196129466917638
8;;;;;;;;;;2.418468560699043;8.081415341991354;9.932491736476518;3.098627877792846;3.2722400868875523;7.175620927158014;9.830729042817158;6.781700850453954;5.271554947293278;5.9665351049097115;2.15758925948466
9;;;;;;;;;;;5.754937534871938;5.846005554552204;5.57978087986099;3.4912775604648365;3.484029527450517;7.857515487390088;5.347991398299912;4.035253252272418;3.5493543084317065;4.926374852299989
10;;;;;;;;;;;;8.786969996123256;7.851729708445562;6.332892646886182;5.021142087856659;12.553281457344902;4.673138469001553;6.3378489678731516;4.12982178957232;10.060790943079434
11;;;;;;;;;;;;;11.149189183105726;10.128166934672826;3.8678202866987847;3.7754420339081185;3.2798220446163615;4.816346491271545;8.20856158825794;13.054665642041703
12;;;;;;;;;;;;;;2.740939473296319;10.352505346393798;10.30773333492402;10.970015854013296;8.497535438971907;5.8704138462631725;1.348060178688406
13;;;;;;;;;;;;;;;7.13476696867096;14.215877834925378;9.487925216794704;7.761266592445137;2.582658257488249;3.0812370950815713
14;;;;;;;;;;;;;;;;5.136108143645414;1.1911753781799808;3.1842867360616522;7.314221018015831;8.151297200126384
15;;;;;;;;;;;;;;;;;4.5932770769236;5.451350020306259;11.731075978587766;9.544621727302548
16;;;;;;;;;;;;;;;;;;4.071697642628844;8.371491591915056;10.79993343826421
17;;;;;;;;;;;;;;;;;;;8.13650539446486;8.527949101962038
18;;;;;;;;;;;;;;;;;;;;4.61381643933216
19;;;;;;;;;;;;;;;;;;;;
car
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;;330.7283223534672;663.4213156518571;646.2062699416442;598.77366761846;902.2856825544433;438.8934415071771;156.4905633684937;576.2837848019244;440.72549089727084;903.229507416739;581.6319665765147;834.4363006512885;986.473439129629;532.0045986572115;465.65864635761415;654.7283886566893;136.93942266574308;845.5027650707706;788.6822978996403
1;;;536.7898395524362;753.8283514930802;876.5328992727506;1134.662240558057;664.0115403056951;328.38565901599543;557.2037982540459;770.8484429952537;1186.1346550914745;1032.5230475650033;829.2847291595431;1067.3592062263115;781.1835324376243;654.141122463424;856.8386658281473;526.9272206732171;1036.5004939093087;830.5139385968289
2;;;;249.63409942101947;1167.9211503477738;1315.5910323334872;569.171646602963;443.73310677480407;411.93441198604705;600.9050867435006;1330.5029640498904;1133.353473908993;507.89727187190226;577.3082809916812;1055.806020568675;967.4011479080574;1182.8527934891224;770.0544220126451;908.2970857924349;392.20342574386126
3;;;;;1510.4703221074353;1208.4073620138563;508.2612460111169;608.5479713149748;257.8079777385883;553.9928757812779;934.4252735690159;1247.2852590659577;306.62535921437524;520.7299625176228;880.7839088286472;1040.7032296780758;1029.954677457124;726.2954372848374;821.1024810481015;133.79605973149125
4;;;;;;1103.1833372061578;786.1381317362438;766.1288350795774;1080.4839595212309;934.1986712578916;802.5460161562617;72.89269123154865;1255.8921736458415;1165.3559905712436;385.37258298825174;426.3896889653033;331.12011575412885;584.1234419465885;1127.6452382485224;1237.3832730119539
5;;;;;;;668.250450038575;885.9602026290461;880.8674396549321;583.1735330978133;78.02894471515944;798.4144467145238;991.5065591344672;761.2157153769699;530.8993879189833;1352.0262698893644;598.7594232607518;899.597093170293;344.43966722429235;930.4657640084121
6;;;;;;;;324.8981352288784;205.08149526980327;108.7842806806674;747.5943524616938;852.8758684320978;455.62828157260947;446.7331864467333;505.74531592585697;750.630680944675;596.4711158149391;317.9244558415888;541.3385313305195;494.96157109026126
7;;;;;;;;;415.38391722741477;397.20600845019067;951.2285189604511;655.740664428302;771.9232839313439;728.9709181792102;555.9667935861241;723.9917286555792;609.1355266417936;208.10468325869908;710.6982633479286;625.0599819202328
8;;;;;;;;;;245.2152056102429;766.2800067553779;1069.9294629638196;341.44222191592564;368.71562394484783;662.2742958765779;1171.3188210569244;709.4113264691257;600.4765688518963;554.4183220716286;228.3254958154269
9;;;;;;;;;;;642.0221650684836;811.4057597968717;518.9099311315547;466.3378553930185;429.63187329479615;940.6630067326284;561.0922452440052;394.30515422355734;415.98443908061466;527.2494653536195
10;;;;;;;;;;;;864.1547964888028;956.1380464040145;695.5264997376577;606.4644526916225;977.7894829617919;597.8699320136467;825.3981796675206;375.6078829637723;1027.899641044687
11;;;;;;;;;;;;;1331.9106530514046;1018.8899903422588;349.49898468733915;350.6397799067226;312.4041622187661;553.4704438631185;908.8788498768836;1347.2331999512332
12;;;;;;;;;;;;;;279.2006729193597;844.1083433629639;1336.3521506858526;1049.8951745494421;778.0366155808222;493.3320789619182;143.71245741298551
13;;;;;;;;;;;;;;;697.0787517524088;1454.90354539444;915.8059188566735;762.3981067954197;270.2217444289214;314.83346017689985
14;;;;;;;;;;;;;;;;563.2144155267266;127.65465367593471;319.44573515360304;686.8363100422317;868.0157105668264
15;;;;;;;;;;;;;;;;;617.8561113455604;448.55455200044884;1227.523674867365;1174.444396447963
16;;;;;;;;;;;;;;;;;;500.10237656069495;835.1703232653473;844.0149133153461
17;;;;;;;;;;;;;;;;;;;715.4383074675795;797.4135005964516
18;;;;;;;;;;;;;;;;;;;;588.7721670039078
19;;;;;;;;;;;;;;;;;;;;
time
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;;3.307283223534672;6.6342131565185705;6.4620626994164425;5.9877366761846;9.022856825544432;4.388934415071771;1.564905633684937;5.762837848019244;4.407254908972709;9.03229507416739;5.816319665765147;8.344363006512886;9.86473439129629;5.320045986572115;4.656586463576142;6.547283886566893;1.3693942266574308;8.455027650707706;7.886822978996403
1;;;5.367898395524362;7.538283514930802;8.765328992727506;11.34662240558057;6.640115403056951;3.2838565901599543;5.572037982540459;7.708484429952537;11.861346550914746;10.325230475650033;8.29284729159543;10.673592062263115;7.8118353243762435;6.54141122463424;8.568386658281474;5.269272206732171;10.365004939093087;8.305139385968289
2;;;;2.4963409942101946;11.679211503477738;13.155910323334872;5.69171646602963;4.43733106774804;4.119344119860471;6.009050867435007;13.305029640498903;11.33353473908993;5.078972718719022;5.773082809916811;10.55806020568675;9.674011479080574;11.828527934891223;7.700544220126451;9.08297085792435;3.9220342574386127
3;;;;;15.104703221074352;12.084073620138563;5.082612460111169;6.0854797131497484;2.578079777385883;5.539928757812779;9.344252735690159;12.472852590659578;3.0662535921437524;5.207299625176228;8.807839088286473;10.407032296780757;10.29954677457124;7.262954372848373;8.211024810481014;1.3379605973149125
4;;;;;;11.031833372061579;7.861381317362438;7.661288350795774;10.804839595212309;9.341986712578917;8.025460161562616;0.7289269123154866;12.558921736458414;11.653559905712436;3.853725829882517;4.263896889653033;3.3112011575412885;5.841234419465885;11.276452382485225;12.373832730119538
5;;;;;;;6.6825045003857495;8.85960202629046;8.808674396549321;5.831735330978133;0.7802894471515944;7.984144467145239;9.915065591344673;7.612157153769699;5.308993879189833;13.520262698893644;5.987594232607518;8.99597093170293;3.4443966722429233;9.304657640084121
6;;;;;;;;3.248981352288784;2.050814952698033;1.087842806806674;7.475943524616938;8.528758684320978;4.556282815726095;4.467331864467333;5.05745315925857;7.50630680944675;5.964711158149392;3.179244558415888;5.413385313305195;4.949615710902613
7;;;;;;;;;4.1538391722741475;3.9720600845019067;9.51228518960451;6.55740664428302;7.719232839313439;7.2897091817921025;5.559667935861241;7.239917286555792;6.091355266417936;2.0810468325869906;7.106982633479285;6.2505998192023275
8;;;;;;;;;;2.452152056102429;7.662800067553779;10.699294629638196;3.4144222191592566;3.6871562394484783;6.6227429587657785;11.713188210569244;7.094113264691257;6.0047656885189635;5.544183220716286;2.283254958154269
9;;;;;;;;;;;6.4202216506848355;8.114057597968717;5.189099311315547;4.663378553930185;4.296318732947961;9.406630067326285;5.610922452440052;3.9430515422355734;4.159844390806146;5.272494653536195
10;;;;;;;;;;;;8.641547964888028;9.561380464040145;6.9552649973765766;6.064644526916225;9.77789482961792;5.978699320136467;8.253981796675205;3.756078829637723;10.27899641044687
11;;;;;;;;;;;;;13.319106530514045;10.188899903422588;3.4949898468733913;3.506397799067226;3.124041622187661;5.534704438631184;9.088788498768835;13.472331999512333
12;;;;;;;;;;;;;;2.792006729193597;8.441083433629638;13.363521506858525;10.498951745494422;7.780366155808221;4.933320789619183;1.437124574129855
13;;;;;;;;;;;;;;;6.970787517524088;14.5490354539444;9.158059188566735;7.6239810679541975;2.702217444289214;3.1483346017689984
14;;;;;;;;;;;;;;;;5.632144155267266;1.2765465367593472;3.1944573515360304;6.868363100422317;8.680157105668265
15;;;;;;;;;;;;;;;;;6.178561113455604;4.4855455200044885;12.275236748673649;11.74444396447963
16;;;;;;;;;;;;;;;;;;5.001023765606949;8.351703232653472;8.440149133153461
17;;;;;;;;;;;;;;;;;;;7.1543830746757955;7.974135005964516
18;;;;;;;;;;;;;;;;;;;;5.887721670039078
19;;;;;;;;;;;;;;;;;;;;
