cities_number
15
cities
city;x;y;capacity;has_airport
0;717;97;0;True
1;371;856;4;True
2;445;202;8;True
3;300;936;2;True
4;515;890;4;True
5;521;459;2;True
6;514;121;9;True
7;434;772;8;True
8;503;582;0;True
9;300;752;0;True
10;315;119;6;True
11;634;374;3;False
12;966;166;4;True
13;401;927;7;False
14;812;859;6;False
distance
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
3;;;;;191.25393719621945;438.4433705975808;564.3057368428753;170.55622517768558;274.3525313365157;123.56927230594131;528.189882997628;496.8118369817263;635.7183812013615;64.45760303342145;403.02603655406864
4;;;;;;296.93258786704416;656.3409791458769;101.08101221562889;211.95735976256597;167.79335593610585;478.97144081718426;434.64084451796276;544.4218719387264;88.02900691027345;226.7511258869325
5;;;;;;;286.30709648426597;210.69162126258786;104.09520537690135;234.76672514295933;292.35697381748133;88.45109386718889;455.33938467488167;392.70508588367017;443.0624079792102
6;;;;;;;;518.5914684133148;290.3832344756258;537.3689356516164;159.04497078029559;205.99190702262746;382.30583248424546;503.1406720665292;540.0750388067023
7;;;;;;;;;129.71298883095344;106.66767502759564;580.9962556657687;362.2283977459542;712.768890892018;110.7562439959392;291.0707216873211
8;;;;;;;;;;159.590794629019;441.65362486400005;161.82221939193533;389.6142153594503;265.02761913212703;265.29278394332863
9;;;;;;;;;;;528.9180091059637;441.32575362893516;709.3635119116939;142.3024835641287;386.1142496497733
10;;;;;;;;;;;;361.8779289046067;431.55643696737536;549.627872577111;712.5795737031302
11;;;;;;;;;;;;;290.78263135751007;534.6968989965729;421.36264323545817
12;;;;;;;;;;;;;;820.8245754196399;600.7836251602025
13;;;;;;;;;;;;;;;275.45590662579804
14;;;;;;;;;;;;;;;
time
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;;8.761362214193785;3.5573700727316555;12.436069769536038;11.529318870483104;5.764975689629383;2.3980147369298503;10.180948055844619;6.034422527019399;8.043269774484244;4.908619132025701;4.129018202268076;3.181849632459761;10.345178587375072;10.786290390575507
1;;;7.296147089281929;1.1867983694445685;2.1312553884984715;4.886577191514475;9.00078356352565;1.498314699256645;3.344056960842524;1.6031213795283965;8.59327677717165;5.766573650003658;10.270180212266135;0.8133766461158501;5.597033908958978
2;;;;9.884471923325124;7.354100701661131;3.0650925172277756;1.2798710306943162;7.035855767218271;5.4633328603074895;5.7244824681004305;2.2751913460576976;3.2796910144136584;6.123762764968718;10.135784761044238;9.955682633964377
3;;;;;3.187565619936991;7.3073895099596795;9.405095614047921;2.842603752961426;4.572542188941928;2.0594878717656884;8.803164716627133;8.280197283028771;10.595306353356024;1.0742933838903574;6.717100609234477
4;;;;;;4.948876464450736;10.939016319097949;1.6846835369271482;3.532622662709433;2.796555932268431;7.982857346953071;7.244014075299379;9.07369786564544;1.4671501151712243;3.779185431448875
5;;;;;;;4.771784941404433;3.511527021043131;1.7349200896150225;3.9127787523826556;4.872616230291356;1.4741848977864815;7.588989744581361;6.545084764727836;7.38437346632017
6;;;;;;;;8.643191140221914;4.8397205745937635;8.956148927526941;2.6507495130049263;3.4331984503771245;6.371763874737424;8.385677867775486;9.001250646778372
7;;;;;;;;;2.1618831471825573;1.7777945837932605;9.68327092776281;6.037139962432571;11.879481514866967;1.84593739993232;4.851178694788685
8;;;;;;;;;;2.659846577150317;7.360893747733334;2.697036989865589;6.493570255990838;4.41712698553545;4.421546399055477
9;;;;;;;;;;;8.815300151766062;7.355429227148919;11.82272519852823;2.371708059402145;6.435237494162888
10;;;;;;;;;;;;6.031298815076778;7.19260728278959;9.16046454295185;11.876326228385503
11;;;;;;;;;;;;;4.846377189291834;8.911614983276216;7.022710720590969
12;;;;;;;;;;;;;;13.680409590327333;10.013060419336709
13;;;;;;;;;;;;;;;4.590931777096634
14;;;;;;;;;;;;;;;
car
cost
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;;988.6547715744246;437.7052473629922;1108.973220220379;1048.1531976951665;459.0542801621076;288.7331968815126;1012.7587437273331;699.2488059585822;1026.5270626932383;535.9796377415819;414.52187656496983;381.13765141888575;1055.8334353542323;861.8376607577031
1;;;972.622082083439;158.94581450817878;195.0209913551274;468.6813632453549;963.9915193195226;122.12118275793235;354.4778513530571;155.12777009549933;911.2286100520247;654.1816877261305;1301.5810059444286;113.53058902212751;652.2609878738626
2;;;;906.2230149490508;838.7518018597649;301.9145961817679;133.3697324522257;631.0340820153598;481.1944807845646;848.6458933448281;169.9810922122001;348.737272950273;746.1717220058158;840.9296243522864;897.3087897171795
3;;;;;292.8032125447448;743.2973804822185;1117.5047540592034;314.93788669294855;460.5422705909225;258.1883311312139;1204.6300128005716;909.7442418230238;1146.9622575618266;135.38881108783147;733.8927008999382
4;;;;;;594.6012357651881;951.3637962857168;205.16614194572279;402.4502984509454;347.61516341783783;1030.3835621229707;691.1937791732804;1044.144745875256;158.80852098725754;384.05616847632376
5;;;;;;;431.4241691741262;358.9441167313693;157.95480341191566;440.50545939900735;443.8003016899358;162.80209641957225;638.9903238285972;569.2379563249137;578.8705465344606
6;;;;;;;;770.3931474352031;623.1408004493672;792.965563317292;224.48374302778606;391.21471719281794;510.87457364744324;1078.6674101913582;906.5290240988876
7;;;;;;;;;273.0041453744031;170.88558452506336;855.8910108727611;545.6255774653376;912.1488419345529;176.8917272565065;536.0107238501662
8;;;;;;;;;;312.8888080640935;577.2062692718163;337.4745634974225;915.5344152613994;514.0467417084764;577.8995486991059
9;;;;;;;;;;;912.8721457367898;561.6365444288272;1050.2254060432888;262.6469760227687;732.9695115870561
10;;;;;;;;;;;;547.1441943987097;755.1845599156175;1081.578734977603;1154.1333456996815
11;;;;;;;;;;;;;509.5525445529228;670.5078751813635;646.5929831380777
12;;;;;;;;;;;;;;1129.8414733906516;938.0896812240834
13;;;;;;;;;;;;;;;489.0042166157384
14;;;;;;;;;;;;;;;
time
city;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;;9.886547715744246;4.377052473629922;11.089732202203791;10.481531976951665;4.590542801621076;2.887331968815126;10.12758743727333;6.992488059585822;10.265270626932384;5.359796377415819;4.145218765649698;3.8113765141888574;10.558334353542323;8.618376607577032
1;;;9.72622082083439;1.589458145081788;1.9502099135512738;4.686813632453549;9.639915193195225;1.2212118275793236;3.544778513530571;1.5512777009549934;9.112286100520247;6.541816877261304;13.015810059444286;1.1353058902212751;6.522609878738626
2;;;;9.062230149490508;8.38751801859765;3.019145961817679;1.333697324522257;6.3103408201535975;4.811944807845646;8.486458933448281;1.699810922122001;3.48737272950273;7.4617172200581585;8.409296243522864;8.973087897171794
3;;;;;2.928032125447448;7.432973804822185;11.175047540592034;3.1493788669294855;4.605422705909225;2.5818833113121387;12.046300128005717;9.097442418230237;11.469622575618267;1.3538881108783147;7.338927008999382
4;;;;;;5.946012357651881;9.513637962857167;2.051661419457228;4.024502984509454;3.4761516341783785;10.303835621229707;6.911937791732804;10.44144745875256;1.5880852098725753;3.840561684763238
5;;;;;;;4.314241691741262;3.589441167313693;1.5795480341191566;4.405054593990074;4.438003016899358;1.6280209641957226;6.389903238285972;5.692379563249137;5.788705465344606
6;;;;;;;;7.703931474352031;6.231408004493672;7.92965563317292;2.2448374302778604;3.9121471719281793;5.108745736474432;10.786674101913581;9.065290240988876
7;;;;;;;;;2.7300414537440307;1.7088558452506337;8.558910108727611;5.456255774653377;9.12148841934553;1.768917272565065;5.360107238501662
8;;;;;;;;;;3.128888080640935;5.772062692718163;3.3747456349742246;9.155344152613994;5.140467417084763;5.778995486991059
9;;;;;;;;;;;9.128721457367897;5.616365444288272;10.502254060432888;2.6264697602276867;7.329695115870561
10;;;;;;;;;;;;5.471441943987097;7.551845599156175;10.81578734977603;11.541333456996815
11;;;;;;;;;;;;;5.095525445529228;6.705078751813635;6.465929831380777
12;;;;;;;;;;;;;;11.298414733906515;9.380896812240834
13;;;;;;;;;;;;;;;4.890042166157384
14;;;;;;;;;;;;;;;
